"dataset","column","sample_values"
"GSE118553","supplementary_file","""""NONE"""""
"GSE118553","data_row_count","""""47323"""""
"GSE125583","title","""""AD 04-45"""" | """"AD 11-73"""" | """"AD 10-11"""" | """"AD 11-20"""" | """"AD 11-92"""""
"GSE125583","geo_accession","""""GSM3577568"""" | """"GSM3577569"""" | """"GSM3577570"""" | """"GSM3577571"""" | """"GSM3577572"""""
"GSE125583","status","""""Public on Apr 17 2019"""""
"GSE125583","submission_date","""""Jan 24 2019"""""
"GSE125583","last_update_date","""""Apr 17 2019"""""
"GSE125583","type","""""SRA"""""
"GSE125583","channel_count","""""1"""""
"GSE125583","source_name_ch1","""""RNA from fusiform gyrus"""""
"GSE125583","organism_ch1","""""Homo sapiens"""""
"GSE125583","characteristics_ch1","""""tissue: fusiform gyrus"""""
"GSE125583","characteristics_ch1.1","""""case id: 04-45"""" | """"case id: 11-73"""" | """"case id: 10-11"""" | """"case id: 11-20"""" | """"case id: 11-92"""""
"GSE125583","characteristics_ch1.2","""""diagnosis: Alzheimer's disease"""" | """"diagnosis: control"""""
"GSE125583","characteristics_ch1.3","""""age: 93"""" | """"age: 77"""" | """"age: 92"""" | """"age: 85"""" | """"age: 83"""""
"GSE125583","characteristics_ch1.4","""""Sex: F"""" | """"Sex: M"""" | """"Sex: NA"""""
"GSE125583","characteristics_ch1.5","""""braak.score: IV"""" | """"braak.score: VI"""" | """"braak.score: I"""" | """"braak.score: V"""" | """"braak.score: II"""""
"GSE125583","molecule_ch1","""""total RNA"""""
"GSE125583","extract_protocol_ch1","""""RNA was extracted from frozen tissue sections."""""
"GSE125583","taxid_ch1","""""9606"""""
"GSE125583","description","""""repeated in GSE95587: NA"""" | """"repeated in GSE95587: GSM2516824"""" | """"repeated in GSE95587: GSM2516916"""" | """"repeated in GSE95587: GSM2516889"""" | """"repeated in GSE95587: GSM2516908"""""
"GSE125583","data_processing","""""Reads were aligned to the GRCh38 genome using GSNAP and genes were counted using the HTSeqGenie Bioconductor package. Gene models were from our internal database and available in the manuscript supplementary material. """"""""nRPKM"""""""" normalization was performed. This is similar to """"""""RPKM"""""""" normalization but includes an extra step for sizeFactor adjustment and is described in the Methods of the manuscript. Supplementary files use Entrez Gene IDs, counts and nRPKM statistics."""""
"GSE125583","platform_id","""""GPL16791"""""
"GSE125583","contact_name","""""Brad,A,Friedman"""""
"GSE125583","contact_email","""""friedmab@gene.com"""""
"GSE125583","contact_department","""""Bioinformatics"""""
"GSE125583","contact_institute","""""Genentech, Inc."""""
"GSE125583","contact_address","""""1 DNA Way"""""
"GSE125583","contact_city","""""South San Francisco"""""
"GSE125583","contact_state","""""CA"""""
"GSE125583","contact_zip.postal_code","""""94133"""""
"GSE125583","contact_country","""""USA"""""
"GSE125583","data_row_count","""""0"""""
"GSE125583","instrument_model","""""Illumina HiSeq 2500"""""
"GSE125583","library_selection","""""cDNA"""""
"GSE125583","library_source","""""transcriptomic"""""
"GSE125583","library_strategy","""""RNA-Seq"""""
"GSE125583","relation","""""BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10810454"""" | """"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10810452"""" | """"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10810451"""" | """"Alternative to: GSM2516824"""" | """"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10810448"""""
"GSE125583","relation.1","""""SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5287392"""" | """"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5287393"""" | """"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5287394"""" | """"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10810449"""" | """"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5287396"""""
"GSE125583","relation.2",""""""""" | """"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5287395"""" | """"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5287398"""" | """"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5287399"""" | """"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5287400"""""
"GSE125583","supplementary_file_1","""""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3577nnn/GSM3577568/suppl/GSM3577568_sample1.tsv.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3577nnn/GSM3577569/suppl/GSM3577569_sample2.tsv.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3577nnn/GSM3577570/suppl/GSM3577570_sample3.tsv.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3577nnn/GSM3577571/suppl/GSM3577571_sample4.tsv.gz"""" | """"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3577nnn/GSM3577572/suppl/GSM3577572_sample5.tsv.gz"""""
"GSE132903","title","""""middle_temporal_gyrus_ND_1_08-81"""" | """"middle_temporal_gyrus_ND_2_08-85"""" | """"middle_temporal_gyrus_ND_4_08-72"""" | """"middle_temporal_gyrus_ND_5_08-83"""" | """"middle_temporal_gyrus_ND_6_97-53"""""
"GSE132903","geo_accession","""""GSM3895951"""" | """"GSM3895952"""" | """"GSM3895953"""" | """"GSM3895954"""" | """"GSM3895955"""""
"GSE132903","status","""""Public on Jun 19 2019"""""
"GSE132903","submission_date","""""Jun 18 2019"""""
"GSE132903","last_update_date","""""Jan 29 2024"""""
"GSE132903","type","""""RNA"""""
"GSE132903","channel_count","""""1"""""
"GSE132903","source_name_ch1","""""middle_temporal_gyrus"""""
"GSE132903","organism_ch1","""""Homo sapiens"""""
"GSE132903","characteristics_ch1","""""tissue: middle temporal gyrus"""""
"GSE132903","characteristics_ch1.1","""""Sex: female"""" | """"Sex: male"""""
"GSE132903","characteristics_ch1.2","""""expired_age (years): 90+"""" | """"expired_age (years): 82"""" | """"expired_age (years): 88"""" | """"expired_age (years): 92"""" | """"expired_age (years): 91"""""
"GSE132903","characteristics_ch1.3","""""diagnosis: ND"""" | """"diagnosis: AD"""""
"GSE132903","molecule_ch1","""""total RNA"""""
"GSE132903","extract_protocol_ch1","""""Total RNA extracted from frozen MTG tissue was isolated with RNEasy Mini Kit (Qiagen) starting with 30 mg of tissue. A total of 2 samples were removed due to low RNA quality (RIN < 7)."""""
"GSE132903","label_ch1","""""biotin"""""
"GSE132903","label_protocol_ch1","""""The remaining 198 samples were prepared using TargetAMp – Nano labeling Kit (Ilumina, CA, USA)."""""
"GSE132903","taxid_ch1","""""9606"""""
"GSE132903","hyb_protocol","""""Samples were hybridized to HumanHT-12 v4 BeadChip array (Illumina) according to manufacturer’s protocol. Samples were randomized across batch runs, and no batch effects for age, sex, RIN and PMI were detected"""""
"GSE132903","scan_protocol","""""not provided"""""
"GSE132903","description","""""ND_1_08-81"""" | """"ND_2_08-85"""" | """"ND_4_08-72"""" | """"ND_5_08-83"""" | """"ND_6_97-53"""""
"GSE132903","data_processing","""""The raw data probe file was produced and background corrected using GenomeStudio data analysis software (Illumina). Raw expression data were exported and then analyzed at the probe level using R-package Lumi [18]. After computing the detection rate, 3 samples were removed (detection rate < 0.1), obtaining a final dataset of 195 samples (AD = 97; ND = 98). The dataset consisting of 42,179 transcripts was variance-stabilized using the variance-stabilizing transformation (VST) [19]. Data were then normalized with the quantile method using the lumiExpresso function included in the R-package Lumi [18] with default parameters. The raw data file includes the Array Address ID as identifiers. The file GSE132903_Matrix_Normalized.xlsx includes both Illumina probe ID and Array Address ID."""""
"GSE132903","platform_id","""""GPL10558"""""
"GSE132903","contact_name","""""Ignazio,Stefano,Piras"""""
"GSE132903","contact_email","""""ipiras@tgen.org"""""
"GSE132903","contact_institute","""""Translational Genomic Research Institute"""""
"GSE132903","contact_address","""""445 N. Fifth Street, Phoenix"""""
"GSE132903","contact_city","""""Phoenix"""""
"GSE132903","contact_state","""""Arizona"""""
"GSE132903","contact_zip.postal_code","""""85004"""""
"GSE132903","contact_country","""""USA"""""
"GSE132903","supplementary_file","""""NONE"""""
"GSE132903","data_row_count","""""42179"""""
"GSE15222","title","""""WGACON-1"""" | """"WGACON-6"""" | """"WGACON-7"""" | """"WGACON-9"""" | """"WGACON-11"""""
"GSE15222","geo_accession","""""GSM225652"""" | """"GSM225662"""" | """"GSM225664"""" | """"GSM225665"""" | """"GSM225666"""""
"GSE15222","status","""""Public on Nov 04 2007"""" | """"Public on Apr 10 2009"""""
"GSE15222","submission_date","""""Aug 29 2007"""" | """"Aug 30 2007"""" | """"Mar 31 2009"""""
"GSE15222","last_update_date","""""Apr 01 2009"""""
"GSE15222","type","""""RNA"""""
"GSE15222","channel_count","""""1"""""
"GSE15222","source_name_ch1","""""neuropathologically normal frozen temporal cortex"""" | """"neuropathologically normal frozen frontal cortex"""" | """"neuropathologically normal frozen frontal temporal cortex"""" | """"neuropathologically normal frozen parietal cortex"""" | """"neuropathologically normal frozen unknown cortex"""""
"GSE15222","organism_ch1","""""Homo sapiens"""""
"GSE15222","characteristics_ch1","""""GENDER_male,AGE_85,PMI_3.16,TRANSDET_WHOLE_0.484,TRANSDET_CORTEX_0.836,HYBDATE_3.9.2006,BRAINBANK_A"""" | """"GENDER_male,AGE_85,PMI_2.5,TRANSDET_WHOLE_0.367,TRANSDET_CORTEX_0.633,HYBDATE_3.9.2006,BRAINBANK_A"""" | """"GENDER_male,AGE_79,PMI_1.66,TRANSDET_WHOLE_0.445,TRANSDET_CORTEX_0.765,HYBDATE_3.9.2006,BRAINBANK_A"""" | """"GENDER_female,AGE_85,PMI_2.75,TRANSDET_WHOLE_0.403,TRANSDET_CORTEX_0.695,HYBDATE_8.31.2006,BRAINBANK_A"""" | """"GENDER_female,AGE_73,PMI_2.5,TRANSDET_WHOLE_0.511,TRANSDET_CORTEX_0.875,HYBDATE_9.13.2006,BRAINBANK_A"""""
"GSE15222","characteristics_ch1.1",""""""""" | """"gender: Female"""" | """"gender: Male"""""
"GSE15222","characteristics_ch1.2",""""""""" | """"age: 97"""" | """"age: 101.1"""" | """"age: 84"""" | """"age: 95.3"""""
"GSE15222","characteristics_ch1.3",""""""""" | """"pmi: 14"""" | """"pmi: 017:40"""" | """"pmi: 3:25"""" | """"pmi: 006:45"""""
"GSE15222","molecule_ch1","""""total RNA"""""
"GSE15222","extract_protocol_ch1","""""total RNA (Qiagen Rneasy Lipid Tissue cat #cat 74804, Qiagen Rnase free dnase set- cat # 79254)"""" | """"total RNA (Qiagen Rneasy Lipid Tissue cat #cat 74804, Qiagen Rnase free dnase set- cat # 79254), genomic DNA (Qiagen Dneasy kit cat # 69504)"""" | """"total RNA (Qiagen Rneasy Lipid Tissue cat #cat 74804, Qiagen Rnase free dnase set- cat"""""
"GSE15222","extract_protocol_ch1.1",""""""""" | """"# 79254)"""""
"GSE15222","label_ch1","""""biotin"""""
"GSE15222","label_protocol_ch1","""""RNA: per ambion manual for cat #IL1791, biotinylated cRNA created from in vitro translation targeting poly A tail, cy3 used to image RNA signal"""" | """"Illumina TotalPrep RNA Amplification Kit From Ambion, Inc. (catalogue # L-1755)."""" | """"RNA: per ambion manual for cat #IL1791, biotinylated cRNA created from in vitro translation targeting poly A tail, cy3 used to image RNA signal DNA: biotin labeled as per Affymetrix protocol for cat # 900753/900754"""""
"GSE15222","taxid_ch1","""""9606"""""
"GSE15222","hyb_protocol","""""RNA: Illumina Whole Genome Gene Expression Rev. F (Illumina Doc #11763837)"""" | """"RNA: per ambion manual for cat #IL1791, biotinylated cRNA created from in vitro translation targeting poly A tail, cy3 used to image RNA signal"""" | """"RNA: Illumina Whole Genome Gene Expression Rev. F (Illumina Doc #11763837);DNA: Allele Specific Hybridization, Affymetrix Mapping 500K Assay Manual (Affymetrix P/N 701930 Rev. 3)"""""
"GSE15222","scan_protocol","""""RNA: Illumina Beadstation"""" | """"RNA: Illumina Beadstation; DNA: Genechip Scanner 3000"""" | """"RNA: Illumina Beadstation; DNA: Genechip Scanner 3000a"""""
"GSE15222","description","""""Human Cortex from neurologically normal control, Caucasian, male."""" | """"Human Cortex from neurologically normal control, Caucasian, female."""" | """"RNA: Illumina Beadstation """" | """"Human Cortex from Alzheimer's Disease"""""
"GSE15222","description.1",""""""""" | """"DNA: Genechip Scanner 3000"""""
"GSE15222","data_processing","""""RNA: Beadstudio software v 1.5.0.34, rank invariant normalization to extract, log10 transformation before analysis"""" | """"RNA: Beadstudio software v 1.5.0.34, rank invariant normalization to extract"""""
"GSE15222","platform_id","""""GPL2700"""""
"GSE15222","contact_name","""""Amanda,,Myers"""""
"GSE15222","contact_department","""""Psychiatry and Behavioral Sciences"""""
"GSE15222","contact_institute","""""Miller School of Medicine, University of Miami"""""
"GSE15222","contact_address","""""1600 NW 10th Ave"""""
"GSE15222","contact_city","""""Miami"""""
"GSE15222","contact_state","""""FL"""""
"GSE15222","contact_zip.postal_code","""""33136"""""
"GSE15222","contact_country","""""USA"""""
"GSE15222","supplementary_file","""""NONE"""""
"GSE15222","data_row_count","""""24354"""""
"GSE29378","title","""""AD - #4147 - hippocampus CA3 - Male - 66yr"""" | """"Control - #1385 - hippocampus CA3 - Male - 81yr"""" | """"Control - #3795 - hippocampus CA1 - Female - 72yr"""" | """"Control - #1761 - hippocampus CA1 - Male - 86yr"""" | """"AD - #704 - hippocampus CA1 - Male - 81yr"""""
"GSE29378","geo_accession","""""GSM726083"""" | """"GSM726084"""" | """"GSM726085"""" | """"GSM726086"""" | """"GSM726087"""""
"GSE29378","status","""""Public on Jun 07 2013"""""
"GSE29378","submission_date","""""May 18 2011"""""
"GSE29378","last_update_date","""""Jun 07 2013"""""
"GSE29378","type","""""RNA"""""
"GSE29378","channel_count","""""1"""""
"GSE29378","source_name_ch1","""""hippocampus - CA3"""" | """"hippocampus - CA1"""""
"GSE29378","organism_ch1","""""Homo sapiens"""""
"GSE29378","characteristics_ch1","""""subjectnumber: 4147"""" | """"subjectnumber: 1385"""" | """"subjectnumber: 3795"""" | """"subjectnumber: 1761"""" | """"subjectnumber: 704"""""
"GSE29378","characteristics_ch1.1","""""regioninhippocampus: CA3"""" | """"regioninhippocampus: CA1"""""
"GSE29378","characteristics_ch1.2","""""gender: Male"""" | """"gender: Female"""""
"GSE29378","characteristics_ch1.3","""""age(years): 66"""" | """"age(years): 81"""" | """"age(years): 72"""" | """"age(years): 86"""" | """"age(years): 90"""""
"GSE29378","characteristics_ch1.4","""""postmorteminterval(hours): 12.3"""" | """"postmorteminterval(hours): 6"""" | """"postmorteminterval(hours): 14"""" | """"postmorteminterval(hours): 24"""" | """"postmorteminterval(hours): 12"""""
"GSE29378","characteristics_ch1.5","""""plaquescore(0-3): 2"""" | """"plaquescore(0-3): 1"""" | """"plaquescore(0-3): NA"""" | """"plaquescore(0-3): 3"""" | """"plaquescore(0-3): 0"""""
"GSE29378","characteristics_ch1.6","""""braakstage(0-6): NA"""" | """"braakstage(0-6): 2"""" | """"braakstage(0-6): 1"""" | """"braakstage(0-6): 5"""" | """"braakstage(0-6): 6"""""
"GSE29378","characteristics_ch1.7","""""apoegenotype(alleles): NA"""" | """"apoegenotype(alleles): 3,3"""" | """"apoegenotype(alleles): 3,4"""" | """"apoegenotype(alleles): 2,3"""" | """"apoegenotype(alleles): 4,4"""""
"GSE29378","characteristics_ch1.8","""""diseaseduration(years): NA"""" | """"diseaseduration(years): 11"""" | """"diseaseduration(years): 8"""" | """"diseaseduration(years): 5"""" | """"diseaseduration(years): 10"""""
"GSE29378","characteristics_ch1.9","""""brainbank: VA"""" | """"brainbank: OHSU"""""
"GSE29378","characteristics_ch1.10","""""chipnumber(batch): 5298416043"""" | """"chipnumber(batch): 5298416027"""" | """"chipnumber(batch): 5298416040"""" | """"chipnumber(batch): 5298416060"""" | """"chipnumber(batch): 5298416058"""""
"GSE29378","characteristics_ch1.11","""""locationonchip: A"""" | """"locationonchip: B"""" | """"locationonchip: C"""" | """"locationonchip: E"""" | """"locationonchip: F"""""
"GSE29378","molecule_ch1","""""total RNA"""""
"GSE29378","extract_protocol_ch1","""""Using a scalpel CA1 and CA3 subfields were dissected from sectioned but unlabeled tissue on dry ice and immediately placed into elution buffer for RNA extraction.  Total RNA from each sample was isolated using the RNeasy Micro Kit with DNase I treatment (QIAGEN; Valencia, CA), then tested for quality on the Agilent 2100 Bioanalyzer using RNA 6000 Nano Chips (Agilent Technologies; Palo Alto, CA).  This extraction followed the protocols provided by the manufacturers."""""
"GSE29378","label_ch1","""""biotin"""""
"GSE29378","label_protocol_ch1","""""Biotinylated cRNA were prepared by the Southern California Genotyping Consortium (www.semel.ucla.edu/core/scgc), using their standard procedure."""""
"GSE29378","taxid_ch1","""""9606"""""
"GSE29378","hyb_protocol","""""Standard Illumina hybridization protocol"""""
"GSE29378","scan_protocol","""""Standard Illumina scanning protocol"""""
"GSE29378","description","""""AD - #4147 - hippocampus CA3 - Male - 66yr"""" | """"Control - #1385 - hippocampus CA3 - Male - 81yr"""" | """"Control - #3795 - hippocampus CA1 - Female - 72yr"""" | """"Control - #1761 - hippocampus CA1 - Male - 86yr"""" | """"AD - #704 - hippocampus CA1 - Male - 81yr"""""
"GSE29378","data_processing","""""The data were normalised using quantile normalisation with normalize.quantiles() in R"""""
"GSE29378","platform_id","""""GPL6947"""""
"GSE29378","contact_name","""""Jeremy,,Miller"""""
"GSE29378","contact_email","""""jeremyinla@gmail.com"""""
"GSE29378","contact_institute","""""Allen Institute for Brain Science"""""
"GSE29378","contact_address","""""615 Westlake Ave N"""""
"GSE29378","contact_city","""""Seattle"""""
"GSE29378","contact_state","""""WA"""""
"GSE29378","contact_zip.postal_code","""""98109"""""
"GSE29378","contact_country","""""USA"""""
"GSE29378","supplementary_file","""""NONE"""""
"GSE29378","data_row_count","""""48803"""""
"GSE33000","title","""""PFC_1"""" | """"PFC_2"""" | """"PFC_3"""" | """"PFC_4"""" | """"PFC_5"""""
"GSE33000","geo_accession","""""GSM1423780"""" | """"GSM1423781"""" | """"GSM1423782"""" | """"GSM1423783"""" | """"GSM1423784"""""
"GSE33000","status","""""Public on Jul 31 2014"""""
"GSE33000","submission_date","""""Jul 01 2014"""""
"GSE33000","last_update_date","""""Jul 31 2014"""""
"GSE33000","type","""""RNA"""""
"GSE33000","channel_count","""""2"""""
"GSE33000","source_name_ch1","""""HBTRC_PF_Pool_1"""" | """"HBTRC_PF_Pool_2"""" | """"HBTRC_PF_Pool_3"""" | """"HBTRC_PF_Pool_4"""" | """"HBTRC_PF_Pool_5"""""
"GSE33000","organism_ch1","""""Homo sapiens"""""
"GSE33000","characteristics_ch1","""""tissue: prefrontal cortex brain"""""
"GSE33000","characteristics_ch1.1","""""sample type: reference"""""
"GSE33000","treatment_protocol_ch1","""""NA"""""
"GSE33000","growth_protocol_ch1","""""Fresh-frozen post-mortem brain tissues."""""
"GSE33000","molecule_ch1","""""total RNA"""""
"GSE33000","extract_protocol_ch1","""""Qiagen RNeasy spin columns with DNase treatment."""""
"GSE33000","label_ch1","""""Cy3"""""
"GSE33000","label_protocol_ch1","""""Samples were amplified and labeled using a custom automated two-cycle version of the MessageAmp II kit from Ambion. Sample amplification, labeling, and microarray processing were performed by the Rosetta Inpharmatics Gene Expression Laboratory in Seattle, Wash."""""
"GSE33000","taxid_ch1","""""9606"""""
"GSE33000","source_name_ch2","""""PFC_1"""" | """"PFC_2"""" | """"PFC_3"""" | """"PFC_4"""" | """"PFC_5"""""
"GSE33000","organism_ch2","""""Homo sapiens"""""
"GSE33000","characteristics_ch2","""""tissue: prefrontal cortex brain"""""
"GSE33000","characteristics_ch2.1","""""age: 67 yrs"""" | """"age: 88 yrs"""" | """"age: 62 yrs"""" | """"age: 90 yrs"""" | """"age: 95 yrs"""""
"GSE33000","characteristics_ch2.2","""""gender: female"""" | """"gender: male"""""
"GSE33000","characteristics_ch2.3","""""disease status: Alzheimer's disease"""" | """"disease status: non-demented"""" | """"disease status: Huntington's disease"""""
"GSE33000","treatment_protocol_ch2","""""NA"""""
"GSE33000","growth_protocol_ch2","""""Fresh-frozen post-mortem brain tissues."""""
"GSE33000","molecule_ch2","""""total RNA"""""
"GSE33000","extract_protocol_ch2","""""Qiagen RNeasy spin columns with DNase treatment."""""
"GSE33000","label_ch2","""""Cy5"""""
"GSE33000","label_protocol_ch2","""""Samples were amplified and labeled using a custom automated two-cycle version of the MessageAmp II kit from Ambion. Sample amplification, labeling, and microarray processing were performed by the Rosetta Inpharmatics Gene Expression Laboratory in Seattle, Wash."""""
"GSE33000","taxid_ch2","""""9606"""""
"GSE33000","hyb_protocol","""""Microarrays were incubated at 40C for 48 hours in a rotating carousel. Hybridizations to custom Agilent microarrays were completed as previously described (Hughes et al. Nat Biotech (2001), 19(4):342-7). Microarrays were washed to remove non-specific hybridized sample. Afterwards, microarrays were dried in an ozone-free nitrogen chamber."""""
"GSE33000","scan_protocol","""""Microarrays were scanned using the Agilent LP2 laser scanner. The scanner output is a Tiff file, which contains the quantitative hybridization data from each individual microarray. The Tiff files were then processed using Rosetta custom feature extraction software."""""
"GSE33000","description","""""Dorsolateral prefrontal cortex (DLPFC)"""""
"GSE33000","data_processing","""""Data were processed using the Rosetta Resolver system. Rosetta's custom feature extraction software performs error modeling before data are loaded into the Resolver system. The Resolver system performs a squeeze operation that combines replicates of the same sequence in an array while applying error weighting. The error weighting consists of adjusting for additive and multiplicative noise. A P-value is generated and propagated throughout the system. The P-value represents the probability that a gene is expressed. The Resolver system allows users to set thresholds, below which genes of a P-value are considered to be significantly expressed. The Resolver system also combines multiple arrays using a squeezing process. If multiple spots reference one sequence, summarization is performed using an error-weighted average as described in Roland Stoughton and Hongyue Dai, Statistical Combining of Cell Expression Profiles. US Patent #6,351,712, February 26, 2002."""""
"GSE33000","platform_id","""""GPL4372"""""
"GSE33000","contact_name","""""Jun,,Zhu"""""
"GSE33000","contact_email","""""junzhu_99@yahoo.com"""""
"GSE33000","contact_department","""""Genetics and Genomic Sciences"""""
"GSE33000","contact_institute","""""Icahn Medical School at Mount Sinai"""""
"GSE33000","contact_address","""""One Gustave L Levy, Box 1498"""""
"GSE33000","contact_city","""""New York"""""
"GSE33000","contact_state","""""NY"""""
"GSE33000","contact_zip.postal_code","""""10029"""""
"GSE33000","contact_country","""""USA"""""
"GSE33000","supplementary_file","""""NONE"""""
"GSE33000","data_row_count","""""39280"""""
